,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,2099.2720087655416,2053.8843473291836,1186.0981298751574,1991.9364797229364,1014.0395252240073,1513.9385813266672,1458.4499478508287,2756.364739668651,12729.735611153836,4289.479399320446,2378.7982231530805,5422.745872927704,1271.6068414147994,4112.0870099693875,4911.662563805248,4267.450379979714,4714.729329278993,21638.93951700264,8479.492205378498,6523.97181367425,1102.9933943869687,2943.8484484677165,3207.4349203808006,887.1930629469668,1357.676461892439,1560.0858949894482,1210.6607574005218,1296.881095038693
1,2099.272008765542,0.0,2657.8757660492174,1899.671133578966,2593.7044560610866,1930.571749263995,1208.96356946138,1717.0113738192335,2958.9324472953463,12821.926758451249,3327.121816202699,2003.100897887271,4820.844029165368,1793.8488240995362,4443.046621999442,4734.243716809981,5467.059355037355,5179.450805771416,21346.431504656543,7580.637548839084,5260.604917438335,1890.2279134812115,1919.3561992607604,1995.1522100731736,2027.85433642449,1848.3891539916465,1541.2462115955595,2250.3523832844967,2425.6845207892547
2,2053.8843473291836,2657.8757660492174,0.0,1873.2958428990214,1949.1718876845857,2665.3193061032225,2308.7822973967213,2663.1904415697113,2637.837088905949,12264.754950353648,4769.126971326635,2388.4139970664196,5511.060555756378,1985.248213690791,2991.606877685027,4060.2812906878353,3590.1710769446427,3359.379509737847,19982.725847454225,6883.655056511985,6905.51039006268,2715.8993948916245,2750.161829843304,3407.2428840586417,2324.4032851234033,2097.842548327655,2466.016925660937,1730.2927373328237,2169.804492244045
3,1186.0981298751574,1899.671133578966,1873.2958428990214,0.0,2147.275866997802,1345.7417423513907,1464.5674763720683,1654.4823657212423,2817.126324746759,12112.550580007579,4268.606732736373,2431.396817781837,5604.257368262355,1644.1271594831173,3771.3651523664216,5064.8472969305585,4065.940178948058,4603.037803284376,21231.633373991135,7951.8930624672175,6714.767663003071,1338.765086756605,2664.196233627976,2654.481122466764,1044.78771702783,1715.075508609488,1525.4905622401839,1395.659584555658,1802.724944733807
4,1991.9364797229364,2593.704456061087,1949.1718876845857,2147.275866997802,0.0,2615.5263870017775,2403.6001189634503,2481.1894100482086,2746.3651351444432,13225.873875028727,4548.624462492784,1840.5754187780226,4414.995496266829,1777.894475061143,3838.283854916325,3898.332319319148,4592.308598578284,3427.2174597354483,20070.049172676416,7522.474339139617,5894.560598153158,2581.95083317028,2593.8461750493652,3238.363077309162,2403.7735355373034,1884.7168189234185,2450.2570373857243,1990.962650375288,2154.608944798792
5,1014.0395252240073,1930.571749263995,2665.3193061032225,1345.7417423513907,2615.526387001778,0.0,1394.051802597375,1411.7896906188532,3293.747206774902,12577.046172581988,4279.9893963715385,2841.2326036175737,5870.679487078605,1578.1193704675673,4424.483964779313,5446.985309127821,4803.9403662724835,5279.528018929568,22224.747796723124,8742.572404485109,6550.659194950989,874.1675779281315,3101.7261610447167,3046.121672792464,694.4958121298621,1637.9110826048418,1276.8436854043528,1591.232977573232,1508.9967322655505
6,1513.9385813266672,1208.9635694613798,2308.7822973967213,1464.5674763720683,2403.60011896345,1394.0518025973752,0.0,1339.7836783842126,2670.234420288868,13055.41553364685,3873.605407175244,2136.086089546517,4979.3604006950445,1355.9430711303703,4468.750875701349,4734.607434218304,5046.037985534035,5043.067360325826,21496.559888352574,8319.043251537876,5960.1898460456505,1441.814949542839,2524.496094141762,2605.431055974329,1270.2827344514187,1407.1959103772977,1292.8842507702332,1779.695218125336,1962.1235956708492
7,1458.4499478508287,1717.0113738192335,2663.190441569711,1654.4823657212426,2481.189410048209,1411.7896906188532,1339.7836783842126,0.0,3328.960620501164,12944.329372931103,4048.2886524488185,2632.3818040257365,5420.203512287451,1492.422328901751,4433.29962011833,5251.941102805327,5228.810343737614,5162.365037567779,21942.29928552757,8539.758814658142,5766.139790624,1181.8433686745493,2897.746258981937,2873.314139569024,1540.547178429689,1272.4716705435098,1188.8565818739794,1841.759730565962,1917.181916895892
8,2756.364739668651,2958.932447295346,2637.8370889059483,2817.126324746759,2746.3651351444432,3293.747206774903,2670.234420288867,3328.960620501164,0.0,13754.969637663082,4575.47723521041,2355.2699899516983,3924.1195817295165,2435.589624252932,4858.251714996842,3139.127006000418,5350.410048205173,4944.012810495053,20663.653285463726,8029.095092274565,5690.996373643959,3370.9621361265467,3019.0167230774578,3834.584110384188,3100.5356042796247,2935.274123370292,3414.513508650124,2932.1015338883235,3416.270212371631
9,12729.735611153836,12821.926758451249,12264.75495035365,12112.550580007577,13225.873875028727,12577.046172581988,13055.415533646848,12944.329372931103,13754.96963766308,0.0,11897.619381274404,13068.841367525107,16597.654865984583,13428.598197636722,11745.52926698318,15742.35142959492,10784.403682797572,14154.034204205054,28090.047194922365,11599.376239241481,13527.0164341961,12454.84152812061,12838.425200037922,12020.136011141287,12678.339097167302,13484.70720042209,12601.036174300894,13049.166444896411,13553.376977886683
